id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.205394333,3.626907441,0.093030691,0
1,2003,0.217128808,3.983984743,0.090212095,0
2,2004,0.223857667,4.380823928,0.086692759,0
3,2005,0.22582709,4.712432834,0.074746396,0
4,2006,0.230668586,4.62329345,-0.015000276,0
5,2007,0.23488315,4.45151172,-0.03901068,4.158105407
6,2008,0.232323721,4.217618291,-0.063926674,3.882630924
7,2009,0.23817865,3.96865173,-0.083307659,3.737097235
8,2010,0.238231168,4.101711103,0.021216685,3.939804873
9,2011,0.238669364,4.014131007,-0.043971362,3.924211978
10,2012,0.243447675,4.012571718,-0.024796064,4.262058042
11,2013,0.247498941,4.281549161,0.048834197,4.641485161
12,2014,0.255230564,4.579893224,0,4.927354908
