id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.165177673,2.864005,0.057913701,0
1,2003,0.167484428,3.096546374,0.073708457,0
2,2004,0.168952363,3.359009484,0.074944838,0
3,2005,0.171888234,3.67919563,0.085221295,0
4,2006,0.17587263,3.936946656,0.066918545,0
5,2007,0.179460683,3.909616566,-0.008497905,3.7555314
6,2008,0.184467042,3.536655072,-0.096420393,3.072279138
7,2009,0.184199318,2.94481725,-0.175737792,2.945052855
8,2010,0.186546617,2.942696812,-0.024721978,2.987461616
9,2011,0.188292062,2.723820484,-0.103202562,2.582222343
10,2012,0.192052073,2.675521617,-0.060461898,2.897932009
11,2013,0.195859618,2.868245876,0.038393801,3.142960407
12,2014,0.199390351,3.060970135,0,3.317307536
