id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.220805877,3.866206433,0.105263158,0
1,2003,0.231405399,4.553421027,0.157154799,0
2,2004,0.243579107,6.063589054,0.287779068,0
3,2005,0.257956676,7.10131541,0.146816552,0
4,2006,0.271494679,8.027395103,0.125858502,0
5,2007,0.288276555,7.701269323,-0.036710343,7.016111378
6,2008,0.298861385,5.749803169,-0.242560659,4.612770043
7,2009,0.302398057,4.727354777,-0.186612161,4.789054249
8,2010,0.299372471,5.161013922,0.085581106,5.259145463
9,2011,0.301474534,4.984729717,-0.037515655,4.759673548
10,2012,0.307206672,4.952704753,-0.022987151,5.288526164
11,2013,0.312710027,5.93725204,0.171857389,6.657666827
12,2014,0.318600633,6.563648584,0,6.875084013
