id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.149014818,2.56838639,0.119513667,0
1,2003,0.15515121,2.940791681,0.138004408,0
2,2004,0.159131572,3.506230953,0.170770558,0
3,2005,0.169414175,4.555914212,0.264195057,0
4,2006,0.180857717,5.430324959,0.193899409,0
5,2007,0.194721817,5.170148726,-0.031270218,4.516487656
6,2008,0.206279794,3.705901085,-0.270678395,3.154124482
7,2009,0.21123037,2.837540948,-0.238478959,2.912100079
8,2010,0.207890183,2.867598818,0.006534599,2.810605974
9,2011,0.209885339,2.721993814,-0.056629458,2.615425004
10,2012,0.212650862,2.842225291,0.027893303,3.044823139
11,2013,0.217652851,3.261474016,0.124433457,3.595233475
12,2014,0.223311599,3.634855212,0,3.923137506
