id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.204834852,3.58617404,0.101696353,0
1,2003,0.214164459,4.119488576,0.141301059,0
2,2004,0.223410766,4.690238211,0.122876333,0
3,2005,0.229574971,5.364883811,0.133371891,0
4,2006,0.239071178,5.854795333,0.090003539,0
5,2007,0.25010677,5.68281089,-0.024649029,5.175809431
6,2008,0.257570455,5.282689353,-0.072843572,4.720077783
7,2009,0.266052901,4.675047156,-0.121033172,4.573592611
8,2010,0.267450676,4.688881867,-0.010850644,4.421682061
9,2011,0.269269949,4.525306757,-0.044894417,4.421682061
10,2012,0.274059703,4.42900632,-0.039803381,4.660398639
11,2013,0.27961665,4.556231405,0.008391009,4.94251823
12,2014,0.288195723,4.749646087,0,5.137831794
