id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.232344882,4.132858229,0.102650064,0
1,2003,0.246245071,4.829899943,0.149494378,0
2,2004,0.258396229,6.376543444,0.276412925,0
3,2005,0.269258629,7.170615702,0.10917591,0
4,2006,0.27864816,7.29482649,0.01544732,0
5,2007,0.288334107,6.761743015,-0.071394231,6.149164637
6,2008,0.298183909,5.125375487,-0.23050657,4.231934598
7,2009,0.302679838,4.305292028,-0.172834578,4.267005879
8,2010,0.301768501,4.787814405,0.107256805,4.489123994
9,2011,0.303624314,4.531794052,-0.055182517,4.354684082
10,2012,0.308904545,4.523026232,-0.012898233,4.845682019
11,2013,0.315439475,5.394255309,0.160248126,6.049796007
12,2014,0.321988213,5.935229822,0,6.33621147
