id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.338322145,5.653177842,0.025859469,0
1,2003,0.338818037,5.944457475,0.044348762,0
2,2004,0.337206389,6.957850963,0.144885006,0
3,2005,0.337082416,8.475507102,0.198297475,0
4,2006,0.342909144,8.848734488,0.045232625,0
5,2007,0.352065785,8.498225291,-0.033146892,7.724184148
6,2008,0.360972001,6.484014456,-0.223314875,5.363115254
7,2009,0.372003113,5.058853799,-0.248201214,5.135933368
8,2010,0.370521636,5.782996063,0.140016038,5.476706198
9,2011,0.373628398,5.472649378,-0.05703262,5.152160645
10,2012,0.38337391,5.639384656,0.002816901,6.044660915
11,2013,0.396400987,7.018703254,0.211495576,8.040616062
12,2014,0.413203039,7.947714898,0,8.616684418
